References:
Miyazawa S, Jernigan RL. Estimation of effective interresidue
contact energies from protein crystal structures--quasi-chemical
approximation. Macromolecules 1985;18:534-552.
Miyazawa S, Jernigan RL. Residue-residue potentials with a favorable
contact pair term and an unfavorable high packing density term,
for simulation and threading. J Mol Biol 1996;256:623-644.
Miyazawa S, Jernigan RL. Self-consistent estimation of interresidue
protein contact energies based on an equilibrium mixture
approximation of residues. Proteins 1999;34:49-68.

>MJ3h 
-0.84 -0.8 -0.81 -0.7 -0.74 -0.62 -0.65 -0.55 -0.18 -0.38 -0.15 -0.16 -0.12 -0.04 -0.04 -0.02 0.04 0.17 0.27 0.22
-0.8 -0.88 -0.73 -0.83 -0.67 -0.68 -0.67 -0.58 -0.34 -0.36 -0.15 -0.19 -0.19 -0.05 -0.11 -0.12 -0.01 0.14 0.18 0.19
-0.81 -0.73 -0.74 -0.66 -0.67 -0.6 -0.64 -0.49 -0.13 -0.37 -0.15 -0.13 -0.05 0 -0.01 0.03 0.14 0.17 0.22 0.24
-0.7 -0.83 -0.66 -0.7 -0.51 -0.73 -0.61 -0.56 -0.29 -0.27 -0.11 -0.17 -0.13 0.03 -0.06 0.05 0.04 0.12 0.3 0.29
-0.74 -0.67 -0.67 -0.51 -0.65 -0.51 -0.59 -0.38 -0.06 -0.32 -0.07 -0.15 -0.05 0.08 0.08 0.04 0.12 0.26 0.36 0.29
-0.62 -0.68 -0.6 -0.73 -0.51 -0.64 -0.66 -0.49 -0.37 -0.27 -0.02 -0.25 -0.37 -0.21 -0.02 -0.01 -0.1 0 0.07 0.09
-0.65 -0.67 -0.64 -0.61 -0.59 -0.66 -1.19 -0.39 -0.36 -0.33 -0.15 -0.31 -0.18 0.08 -0.07 -0.13 -0.01 0.2 0.12 0.33
-0.55 -0.58 -0.49 -0.56 -0.38 -0.49 -0.39 -0.45 -0.3 -0.2 -0.09 -0.22 -0.25 -0.25 -0.14 -0.08 -0.11 -0.08 -0.07 -0.05
-0.18 -0.34 -0.13 -0.29 -0.06 -0.37 -0.36 -0.3 -0.4 0.07 -0.03 0 0.01 0.05 0.15 0.04 0 0 -0.1 0.38
-0.38 -0.36 -0.37 -0.27 -0.32 -0.27 -0.33 -0.2 0.07 -0.12 0.04 -0.08 0.15 0.24 0.22 0.1 0.15 0.38 0.27 0.41
-0.15 -0.15 -0.15 -0.11 -0.07 -0.02 -0.15 -0.09 -0.03 0.04 0.03 -0.04 0.13 0.11 0.12 0.04 0.04 0.16 0.11 0.33
-0.16 -0.19 -0.13 -0.17 -0.15 -0.25 -0.31 -0.22 0 -0.08 -0.04 -0.29 0.02 0.09 0.13 -0.01 -0.01 0.32 0.11 0.29
-0.12 -0.19 -0.05 -0.13 -0.05 -0.37 -0.18 -0.25 0.01 0.15 0.13 0.02 0.11 0.17 0.17 0.2 0.18 0.37 0.33 0.47
-0.04 -0.05 0 0.03 0.08 -0.21 0.08 -0.25 0.05 0.24 0.11 0.09 0.17 0.19 0.09 0.16 0.1 -0.22 -0.24 0.66
-0.04 -0.11 -0.01 -0.06 0.08 -0.02 -0.07 -0.14 0.15 0.22 0.12 0.13 0.17 0.09 0.2 0.22 0.06 0.27 0.24 0.28
-0.02 -0.12 0.03 0.05 0.04 -0.01 -0.13 -0.08 0.04 0.1 0.04 -0.01 0.2 0.16 0.22 0.05 0.09 0.18 0.1 0.36
0.04 -0.01 0.14 0.04 0.12 -0.1 -0.01 -0.11 0 0.15 0.04 -0.01 0.18 0.1 0.06 0.09 -0.06 0.12 0.02 0.22
0.17 0.14 0.17 0.12 0.26 0 0.2 -0.08 0 0.38 0.16 0.32 0.37 -0.22 0.27 0.18 0.12 0.46 0.44 -0.06
0.27 0.18 0.22 0.3 0.36 0.07 0.12 -0.07 -0.1 0.27 0.11 0.11 0.33 -0.24 0.24 0.1 0.02 0.44 0.29 -0.01
0.22 0.19 0.24 0.29 0.29 0.09 0.33 -0.05 0.38 0.41 0.33 0.29 0.47 0.66 0.28 0.36 0.22 -0.06 -0.01 0.76
<MJ3h

>MJ2h
-7.37 -7.28 -7.04 -6.41 -6.48 -6.14 -5.83 -5.67 -4.54 -4.91 -4.34 -4.16 -4.2 -4.03 -4.04 -3.92 -3.74 -3.59 -3.4 -3.37
-7.28 -7.26 -6.84 -6.56 -6.29 -6.16 -5.8 -5.66 -4.77 -4.81 -4.28 -4.13 -4.25 -3.98 -4.1 -4.02 -3.75 -3.56 -3.48 -3.36
-7.04 -6.84 -6.54 -6.02 -6.05 -5.78 -5.5 -5.25 -4.14 -4.58 -4.03 -3.78 -3.76 -3.63 -3.67 -3.52 -3.24 -3.27 -3.17 -3.01
-6.41 -6.56 -6.02 -5.46 -5.32 -5.55 -4.99 -4.91 -3.98 -3.94 -3.51 -3.39 -3.45 -3.12 -3.3 -3.03 -2.95 -2.89 -2.57 -2.48
-6.48 -6.29 -6.05 -5.32 -5.52 -5.18 -4.96 -4.62 -3.58 -4.04 -3.46 -3.38 -3.32 -3.07 -3.07 -3.05 -2.83 -2.67 -2.48 -2.49
-6.14 -6.16 -5.78 -5.55 -5.18 -5.06 -4.95 -4.66 -3.98 -3.82 -3.22 -3.42 -3.73 -3.41 -3.11 -2.99 -3.07 -2.99 -2.84 -2.69
-5.83 -5.8 -5.5 -4.99 -4.96 -4.95 -5.44 -4.16 -3.6 -3.57 -3.11 -3.16 -3.07 -2.57 -2.85 -2.86 -2.59 -2.27 -2.41 -1.95
-5.67 -5.66 -5.25 -4.91 -4.62 -4.66 -4.16 -4.17 -3.52 -3.36 -3.01 -3.01 -3.19 -3.16 -2.97 -2.78 -2.76 -2.79 -2.76 -2.6
-4.54 -4.77 -4.14 -3.98 -3.58 -3.98 -3.6 -3.52 -3.05 -2.41 -2.42 -2.15 -2.25 -2.16 -1.98 -2.11 -2.08 -2.15 -2.32 -1.35
-4.91 -4.81 -4.58 -3.94 -4.04 -3.82 -3.57 -3.36 -2.41 -2.72 -2.32 -2.31 -2.03 -1.83 -1.89 -2.01 -1.84 -1.51 -1.7 -1.31
